rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,anneal/logit_clip,time/total_timesteps,anneal/ent_coef,train/clip_fraction,train/approx_kl,val/window_0_len,train/clip_range,val/window_1_sharpe,val/worst_sharpe,train/value_loss,train/entropy_loss,train/loss,val/window_2_len,train/explained_variance,train/policy_gradient_loss,val/window_1_len,val/window_2_sharpe,train/std,val/dispersion,train/learning_rate,train/n_updates,val/mean_sharpe,val/window_0_sharpe,val/median_sharpe,val/adjusted_mean,anneal/target_kl
511.6055603027344,789,5,1361.0,1,3.9317333333333333,4096,0.0190784,,,,,,,,,,,,,,,,,,,,,,,
505.6499328613281,731,11,1361.0,2,3.8634666666666666,8192,0.0181568,0.003857421875,0.0028896527,47,0.2,0.0614842635643478,-2.3130565323125793,17.632644867897035,-63.90542430877686,5.478539943695068,48,-0.09003567695617676,-0.002893078053602949,48,-2.3130565323125793,1.0001801252365112,1.5441993307105346,0.0002,5,-0.275841751560484,1.4240470140667796,0.0614842635643478,-0.6041058846386289,
513.4306640625,720,17,1361.0,3,3.7952,12288,0.0172352,0.003173828125,0.0013107113,47,0.2,2.496380991015767,-2.9795604561090947,18.119058203697204,-64.13046703338622,5.2471771240234375,48,0.06531834602355957,-0.0016781698388513178,48,-2.9795604561090947,1.000441312789917,2.382560284431348,0.0002,10,0.3410498302304725,1.506328955784745,1.506328955784745,-0.1538402837968012,
511.3117370605469,659,24,1361.0,4,3.726933333333333,16384,0.0163136,0.0,0.0005588415,47,0.2,2.7774956680316505,-2.4615274061484382,20.05378975868225,-64.1212158203125,6.6965227127075195,48,0.15356802940368652,2.231232065241784e-05,48,-2.4615274061484382,1.0005160570144653,2.2028256620011755,0.0002,15,0.5307309855263808,1.27622469469593,1.27622469469593,0.1653491339892712,
518.2027587890625,455,45,1361.0,5,3.6586666666666665,20480,0.015392,0.0001953125,0.0009855346,47,0.2,3.7051682645986537,-1.8545497257212296,22.641796255111693,-64.16141490936279,8.613486289978027,48,0.18282616138458252,-0.0008305956551339477,48,-1.8545497257212296,1.0005228519439697,2.273656614638326,0.0002,20,0.8310479854788625,0.642525417559163,0.642525417559163,0.617410554048555,
515.8230590820312,479,51,1361.0,6,3.5904,24576,0.014470400000000001,0.000634765625,0.0013821172,,0.2,,,25.02388596534729,-64.20603046417236,12.402835845947266,,0.2168583869934082,-0.0009702865674626083,,,1.0005500316619873,,0.0002,25,,,,,
521.4706420898438,499,57,1361.0,7,3.5221333333333336,28672,0.0135488,0.00185546875,0.00079142384,47,0.2,4.281993883651909,-3.1359728686664257,24.160414457321167,-64.37394046783447,8.065101623535156,48,0.2233458161354065,0.0011022142600268126,48,-3.1359728686664257,1.000532865524292,3.034970550358743,0.0002,30,0.43157538963273634,0.14870515391272573,0.14870515391272573,-0.10241782753387008,
521.6984252929688,509,64,1361.0,8,3.4538666666666664,32768,0.012627199999999998,0.0,0.00067865604,47,0.2,4.439412023232985,-3.549057154741531,32.000435256958006,-64.18989162445068,10.465521812438965,48,0.2755558490753174,-0.00047270991490222514,48,-3.549057154741531,1.0005862712860107,3.284435127456447,0.0002,35,0.1698829205320429,-0.3807061068953256,-0.3807061068953256,-0.46738136815333986,
521.5343017578125,522,70,1361.0,9,3.3856,36864,0.0117056,0.011767578125,0.0049243746,47,0.2,3.090352734530478,-2.830658043077667,28.175085163116456,-64.27980880737304,10.333008766174316,48,0.2874247431755066,-0.002141209424007684,48,-2.830658043077667,1.0006576776504517,2.4184742635449954,0.0002,40,0.07527480071731141,-0.03387028930087702,-0.03387028930087702,-0.3823897100521053,
520.0919799804688,534,76,1361.0,10,3.3173333333333335,40960,0.010783999999999998,0.01533203125,0.0067404304,47,0.2,3.9011361763350436,-3.22285563305763,28.65125980377197,-64.38281688690185,12.59260082244873,48,0.3044552803039551,-0.0013621635443996638,48,-3.22285563305763,1.0006763935089111,2.9194813745617885,0.0002,45,0.15910099856538804,-0.20097754758124955,-0.20097754758124955,-0.3966129096990194,0.19856000000000001
