date,best_mc_sharpe_wealth,best_mc_sharpe_daily_return
2025-01-03 05:00:00,1.0092034046776077,0.009203404677607654
2025-01-06 05:00:00,1.0092348635002941,3.117193475634273e-05
2025-01-07 05:00:00,1.0039309345891168,-0.005255396046052106
2025-01-08 05:00:00,1.001915910183286,-0.0020071344914332724
2025-01-10 05:00:00,0.9896175037658644,-0.012274888832907851
2025-01-13 05:00:00,0.990916045106363,0.001312164887501716
2025-01-14 05:00:00,0.9945257880906688,0.003642834327017357
2025-01-15 05:00:00,1.0120044768947796,0.017574897517405628
2025-01-16 05:00:00,1.0103763669945691,-0.0016087971322085628
2025-01-17 05:00:00,1.0132955753894592,0.0028892286975925694
2025-01-21 05:00:00,1.022209091086424,0.00879656036545817
2025-01-22 05:00:00,1.0210040257784143,-0.0011788833796507348
2025-01-23 05:00:00,1.0230279249519643,0.0019822636566069335
2025-01-24 05:00:00,1.026127724126383,0.0030300240089383623
2025-01-27 05:00:00,1.0222918942115276,-0.0037381602939547546
2025-01-28 05:00:00,1.0276256213501338,0.005217420942890438
2025-01-29 05:00:00,1.0235955247930222,-0.003921755621290126
2025-01-30 05:00:00,1.0324718227686052,0.008671685016772502
2025-01-31 05:00:00,1.0276444783965284,-0.004675521661339024
2025-02-03 05:00:00,1.0220922171890914,-0.005402900832105371
2025-02-04 05:00:00,1.030536041953257,0.008261314020556274
2025-02-05 05:00:00,1.0347772187779616,0.004115505573842833
2025-02-06 05:00:00,1.034950648194932,0.0001676007297252319
2025-02-07 05:00:00,1.0318540968968157,-0.0029919796692886424
2025-02-10 05:00:00,1.0413821660473757,0.009233930629548021
2025-02-11 05:00:00,1.0412805856318441,-9.754384014197797e-05
2025-02-12 05:00:00,1.0338828025755276,-0.007104504932095198
2025-02-13 05:00:00,1.0444469458835441,0.01021793116366759
2025-02-14 05:00:00,1.04318765033332,-0.0012057056178750257
2025-02-18 05:00:00,1.0507024693632703,0.007203707815702277
2025-02-19 05:00:00,1.0501505492118237,-0.0005252868129080593
2025-02-20 05:00:00,1.0517123567513793,0.0014872225136938065
2025-02-21 05:00:00,1.0465228945174547,-0.004934298052705446
2025-02-24 05:00:00,1.045332388828535,-0.0011375820779043007
2025-02-25 05:00:00,1.0475844803544676,0.0021544262380086667
2025-02-26 05:00:00,1.0492952891729768,0.001633098667069155
2025-02-27 05:00:00,1.040220392696921,-0.008648563059125501
2025-02-28 05:00:00,1.0442788042203919,0.0039014919837794012
2025-03-03 05:00:00,1.0377874744091984,-0.0062160888308362095
2025-03-04 05:00:00,1.0338137552515443,-0.003829029792363085
2025-03-05 05:00:00,1.0377763319548108,0.003832969607085875
2025-03-06 05:00:00,1.028984102675302,-0.008472181344651959
2025-03-07 05:00:00,1.0345192525920555,0.005379237543478392
2025-03-10 04:00:00,1.0209133775396109,-0.013151881918441001
2025-03-11 04:00:00,1.0192288721052853,-0.0016499983949520031
2025-03-12 04:00:00,1.024804655147975,0.005470589771630523
2025-03-13 04:00:00,1.0214168543535835,-0.003305801527513767
2025-03-14 04:00:00,1.034284869871544,0.012598201667725744
2025-03-17 04:00:00,1.0444497370462165,0.009827918275488904
2025-03-18 04:00:00,1.041056283017112,-0.0032490352658822736
2025-03-19 04:00:00,1.0465530424132297,0.0052799829229093305
2025-03-20 04:00:00,1.0449228339653582,-0.0015576930951462626
2025-03-21 04:00:00,1.0415492221903142,-0.0032285750348105572
2025-03-24 04:00:00,1.0503147319814932,0.00841583825750046
2025-03-25 04:00:00,1.049444692456537,-0.0008283607745982893
2025-03-26 04:00:00,1.0386105895777393,-0.010323653029715541
2025-03-27 04:00:00,1.0381928894675154,-0.00040217201173912276
2025-03-28 04:00:00,1.0323482053723598,-0.0056296707042110435
2025-03-31 04:00:00,1.0412778483715284,0.008649836317531731
2025-04-01 04:00:00,1.0427737890162667,0.0014366392669140605
2025-04-02 04:00:00,1.047156400681904,0.004202840262960459
2025-04-03 04:00:00,1.020758969376245,-0.025208680659803095
2025-04-04 04:00:00,0.9903456059712937,-0.029794852964687594
2025-04-07 04:00:00,0.9746015977674762,-0.01589748882500094
